time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2022-02-03T08:00:32.709000,32.7,-200.9392758448783
2022-02-03T08:00:33.709000,33.7,-200.37006724322677
2022-02-03T08:07:07.309000,427.3,-373.68603515625
2022-02-03T08:07:07.359000,427.35,-191.69967651367188
2022-02-03T08:07:07.409000,427.4,221.28668212890625
2022-02-03T08:07:07.709000,427.7,247.20486450195312
2022-02-03T08:07:07.759000,427.75,254.19122314453125
2022-02-03T08:07:07.809000,427.8,259.1775817871094
2022-02-03T08:07:07.859000,427.85,327.1639404296875
2022-02-03T08:07:07.909000,427.9,332.1502990722656
2022-02-03T08:07:07.959000,427.95,348.1366577148437
2022-02-03T08:07:08.009000,428.0,397.1230163574219
2022-02-03T08:07:08.059000,428.05,393.109375
2022-02-03T08:07:08.109000,428.1,392.0957336425781
2022-02-03T08:07:08.159000,428.15,405.08209228515625
2022-02-03T08:07:08.209000,428.2,399.0684814453125
2022-02-03T08:07:08.259000,428.25,406.0548400878906
2022-02-03T08:07:08.309000,428.3,452.0411987304688
2022-02-03T08:07:08.359000,428.35,412.0275573730469
2022-02-03T08:07:08.409000,428.4,374.013916015625
2022-02-03T08:07:08.459000,428.45,439.0002746582031
2022-02-03T08:07:08.509000,428.5,451.9866333007813
2022-02-03T08:07:08.559000,428.55,468.9729919433594
2022-02-03T08:07:08.609000,428.6,488.9593505859375
2022-02-03T08:07:08.659000,428.65,475.9457092285156
2022-02-03T08:07:08.709000,428.7,515.9320678710938
2022-02-03T08:07:08.759000,428.75,527.9183959960938
2022-02-03T08:07:08.809000,428.8,535.90478515625
2022-02-03T08:07:08.859000,428.85,570.8911743164062
2022-02-03T08:07:08.909000,428.9,551.8775024414062
2022-02-03T08:07:08.959000,428.95,548.8638916015625
2022-02-03T08:07:09.009000,429.0,585.8502197265625
2022-02-03T08:07:09.059000,429.05,606.8366088867188
2022-02-03T08:07:09.109000,429.1,603.8229370117188
2022-02-03T08:07:09.159000,429.15,589.809326171875
2022-02-03T08:07:09.209000,429.2,599.7957153320312
2022-02-03T08:07:09.259000,429.25,592.7820434570312
2022-02-03T08:07:09.309000,429.3,608.7684326171875
2022-02-03T08:07:09.359000,429.35,622.7547607421875
2022-02-03T08:07:09.409000,429.4,558.7411499023438
2022-02-03T08:07:09.459000,429.45,609.7274780273438
2022-02-03T08:07:09.509000,429.5,641.7138671875
2022-02-03T08:07:09.559000,429.55,572.7001953125
2022-02-03T08:07:09.609000,429.6,609.6865844726562
2022-02-03T08:07:09.659000,429.65,579.6729125976562
2022-02-03T08:07:09.709000,429.7,566.6593017578125
2022-02-03T08:07:09.759000,429.75,647.6456298828125
2022-02-03T08:07:09.809000,429.8,610.6320190429688
2022-02-03T08:07:09.859000,429.85,618.618408203125
2022-02-03T08:07:09.909000,429.9,659.604736328125
2022-02-03T08:07:09.959000,429.95,617.5911254882812
2022-02-03T08:07:10.009000,430.0,653.5774536132812
2022-02-03T08:07:10.059000,430.05,679.5638427734375
2022-02-03T08:07:10.109000,430.1,646.5501708984375
2022-02-03T08:07:10.159000,430.15,666.5365600585938
2022-02-03T08:07:10.209000,430.2,646.5228881835938
2022-02-03T08:07:10.259000,430.25,591.50927734375
2022-02-03T08:07:10.309000,430.3,599.49560546875
2022-02-03T08:07:10.359000,430.35,638.4819946289062
2022-02-03T08:07:10.409000,430.4,624.4683227539062
2022-02-03T08:07:10.459000,430.45,623.4547119140625
2022-02-03T08:07:10.509000,430.5,624.4411010742188
2022-02-03T08:07:10.559000,430.55,585.4274291992188
2022-02-03T08:07:10.609000,430.6,610.413818359375
2022-02-03T08:07:10.659000,430.65,610.400146484375
2022-02-03T08:07:10.709000,430.7,626.3865356445312
2022-02-03T08:07:10.759000,430.75,666.3728637695312
2022-02-03T08:07:10.809000,430.8,612.3592529296875
2022-02-03T08:07:10.859000,430.85,612.3455810546875
2022-02-03T08:07:10.909000,430.9,634.3319702148438
2022-02-03T08:07:10.959000,430.95,623.3182983398438
2022-02-03T08:07:11.009000,431.0,641.3046875
2022-02-03T08:07:11.059000,431.05,651.291015625
2022-02-03T08:07:11.109000,431.1,645.2774047851562
2022-02-03T08:07:11.159000,431.15,623.2637329101562
2022-02-03T08:07:11.209000,431.2,583.2501220703125
2022-02-03T08:07:11.259000,431.25,572.2365112304688
2022-02-03T08:07:11.309000,431.3,597.2228393554688
2022-02-03T08:07:11.359000,431.35,555.209228515625
2022-02-03T08:07:11.409000,431.4,535.195556640625
2022-02-03T08:07:11.459000,431.45,583.1819458007812
2022-02-03T08:07:11.509000,431.5,571.1682739257812
2022-02-03T08:07:11.559000,431.55,518.1546630859375
2022-02-03T08:07:11.609000,431.6,539.1409912109375
2022-02-03T08:07:11.659000,431.65,599.1273803710938
2022-02-03T08:07:11.709000,431.7,528.1137084960938
2022-02-03T08:07:11.759000,431.75,505.10009765625
2022-02-03T08:07:11.809000,431.8,556.08642578125
2022-02-03T08:07:11.859000,431.85,551.0728149414062
2022-02-03T08:07:11.909000,431.9,533.0591430664062
2022-02-03T08:07:11.959000,431.95,506.0455322265625
2022-02-03T08:07:12.009000,432.0,585.0319213867188
2022-02-03T08:07:12.059000,432.05,572.0182495117188
2022-02-03T08:07:12.109000,432.1,503.0046081542969
2022-02-03T08:07:12.159000,432.15,539.990966796875
2022-02-03T08:07:12.209000,432.2,513.9773559570312
2022-02-03T08:07:12.259000,432.25,498.9637145996094
2022-02-03T08:07:12.309000,432.3,474.9500732421875
2022-02-03T08:07:12.359000,432.35,480.9364318847656
2022-02-03T08:07:12.409000,432.4,503.92279052734375
2022-02-03T08:07:12.459000,432.45,430.9091491699219
2022-02-03T08:07:12.509000,432.5,436.8955078125
2022-02-03T08:07:12.559000,432.55,475.8818664550781
2022-02-03T08:07:12.609000,432.6,469.86822509765625
2022-02-03T08:07:12.659000,432.65,471.8545837402344
2022-02-03T08:07:12.709000,432.7,438.8409423828125
2022-02-03T08:07:12.759000,432.75,422.8273010253906
2022-02-03T08:07:12.809000,432.8,453.8136596679688
2022-02-03T08:07:12.859000,432.85,481.800048828125
2022-02-03T08:07:12.909000,432.9,467.7864074707031
2022-02-03T08:07:12.959000,432.95,464.7727661132813
2022-02-03T08:07:13.009000,433.0,490.7591247558594
2022-02-03T08:07:13.059000,433.05,455.7454833984375
2022-02-03T08:07:13.109000,433.1,405.7318420410156
2022-02-03T08:07:13.159000,433.15,390.71820068359375
2022-02-03T08:07:13.209000,433.2,406.7045593261719
2022-02-03T08:07:13.259000,433.25,410.69091796875
2022-02-03T08:07:13.309000,433.3,380.6772766113281
2022-02-03T08:07:13.359000,433.35,375.6636352539063
2022-02-03T08:07:13.409000,433.4,360.6499938964844
2022-02-03T08:07:13.459000,433.45,374.6363525390625
2022-02-03T08:07:13.509000,433.5,383.6227111816406
2022-02-03T08:07:13.559000,433.55,325.6091003417969
2022-02-03T08:07:13.609000,433.6,365.595458984375
2022-02-03T08:07:13.659000,433.65,384.5818176269531
2022-02-03T08:07:13.709000,433.7,337.56817626953125
2022-02-03T08:07:13.759000,433.75,373.5545349121094
2022-02-03T08:07:13.809000,433.8,362.5408935546875
2022-02-03T08:07:13.859000,433.85,331.5272521972656
2022-02-03T08:07:13.909000,433.9,351.5136108398437
2022-02-03T08:07:13.959000,433.95,330.4999694824219
2022-02-03T08:07:14.009000,434.0,331.486328125
2022-02-03T08:07:14.059000,434.05,346.4726867675781
2022-02-03T08:07:14.109000,434.1,317.45904541015625
2022-02-03T08:07:14.159000,434.15,330.4454040527344
2022-02-03T08:07:14.209000,434.2,324.4317932128906
